id,color,school_id
1895,lime,111.0
1851,green,253.0
1899,lime,38.0
1903,lime,111.0
1923,green,62.0
1888,lime,192.0
1894,lime,198.0
1912,green,198.0
1871,green,64.0
1905,lime,61.0
1863,green,64.0
1880,green,89.0
1864,green,164.0
1854,green,223.0
1918,green,62.0
1902,lime,192.0
1898,lime,198.0
9560,green,
9561,green,
1815,green,64.0
1796,green,62.0
1308,green,62.0
1869,green,27.0
1873,green,198.0
10158,green,
651,green,246.0
652,green,65.0
653,green,65.0
654,green,265.0
655,green,90.0
656,green,201.0
657,green,19.0
658,lime,128.0
659,lime,126.0
1896,lime,89.0
1876,green,223.0
1911,green,198.0
1877,green,259.0
1909,green,274.0
1860,green,286.0
1881,green,64.0
1855,green,164.0
1893,lime,192.0
1886,lime,62.0
1914,lime,229.0
1857,green,63.0
1892,lime,198.0
1901,lime,192.0
1859,green,89.0
1872,green,208.0
1852,green,49.0
1947,green,62.0
1965,green,62.0
1982,green,274.0
1956,green,198.0
1960,lime,198.0
1950,green,198.0
1968,green,131.0
1972,green,49.0
1975,green,164.0
2004,green,164.0
1969,green,208.0
1974,green,17.0
1983,green,24.0
1988,green,49.0
1990,green,254.0
1993,green,131.0
1994,green,49.0
1995,green,49.0
1996,green,62.0
1999,green,49.0
2002,green,17.0
2017,green,111.0
1951,lime,198.0
1991,green,164.0
9562,green,
9565,green,
9567,green,
9568,green,
9569,green,
1949,green,62.0
2008,green,62.0
1868,green,27.0
10160,green,278.0
1919,green,282.0
10161,green,93.0
10162,green,253.0
10163,green,253.0
660,lime,201.0
661,lime,90.0
662,lime,135.0
663,lime,246.0
664,lime,76.0
665,lime,65.0
666,lime,2.0
667,lime,90.0
1985,green,111.0
2016,green,62.0
1967,green,62.0
1998,green,111.0
2015,green,111.0
1986,green,111.0
1970,green,164.0
1989,green,24.0
1942,green,62.0
1981,green,111.0
1945,green,89.0
1971,green,164.0
1997,green,111.0
1952,lime,62.0
1944,green,198.0
1957,lime,105.0
1992,green,49.0
1948,green,62.0
1966,green,198.0
1980,green,24.0
2003,green,198.0
1984,green,111.0
2453,green,223.0
1958,lime,198.0
1955,green,198.0
1978,green,24.0
2024,green,49.0
2044,green,278.0
2028,green,49.0
2030,green,49.0
2029,green,198.0
2038,green,62.0
2077,green,111.0
2053,green,223.0
2027,green,198.0
2083,green,198.0
2035,green,62.0
2100,green,63.0
2040,lime,198.0
2102,green,30.0
2060,green,64.0
9563,green,
9564,green,
9566,green,
9570,green,
2045,green,24.0
2067,green,62.0
10164,green,
2001,green,62.0
1987,green,111.0
2006,green,62.0
3326,green,6.0
3327,green,
1532,green,164.0
1510,green,62.0
2043,green,223.0
2082,green,111.0
2108,green,256.0
2066,green,111.0
2104,green,111.0
2107,green,5.0
2073,green,63.0
2075,green,111.0
2076,green,256.0
2078,green,27.0
2020,lime,198.0
2064,green,223.0
2091,green,256.0
2090,green,24.0
2087,green,259.0
2088,green,111.0
2089,green,105.0
2092,green,111.0
2034,green,192.0
2095,green,256.0
2070,green,61.0
2097,green,62.0
2099,green,62.0
2033,green,111.0
2025,green,111.0
2046,green,111.0
2036,green,49.0
2072,green,62.0
2031,green,62.0
2041,lime,62.0
2534,green,62.0
2098,green,62.0
2080,green,63.0
2103,green,111.0
2052,green,111.0
2063,green,63.0
2074,green,111.0
2032,green,111.0
2056,green,94.0
2084,green,111.0
2101,green,275.0
2105,green,282.0
2153,lime,62.0
2112,lime,198.0
2159,green,198.0
2195,green,89.0
2145,green,111.0
2135,green,27.0
2138,green,111.0
9571,green,
9573,green,
2156,lime,62.0
2147,green,62.0
2094,green,257.0
2157,green,62.0
10165,green,
668,lime,76.0
669,lime,267.0
2137,green,259.0
2170,green,192.0
2142,green,259.0
2114,lime,256.0
2150,green,38.0
2123,green,38.0
2129,green,111.0
2116,green,38.0
2187,green,64.0
2164,green,156.0
2166,green,48.0
2189,green,111.0
2141,green,259.0
2172,green,215.0
2174,green,215.0
2134,green,229.0
2110,lime,256.0
2124,green,256.0
2155,lime,259.0
2182,green,111.0
2183,green,111.0
2121,green,198.0
2188,green,111.0
2191,green,27.0
2173,green,62.0
2193,green,215.0
2132,green,254.0
2167,green,282.0
2139,green,27.0
2181,green,277.0
2127,green,111.0
2169,green,64.0
2190,green,111.0
2115,green,198.0
2162,green,94.0
569,lime,90.0
2152,lime,62.0
2131,green,229.0
2149,green,111.0
2161,green,27.0
2119,green,38.0
2186,green,89.0
2126,green,259.0
2180,green,111.0
2271,green,274.0
2211,green,256.0
2212,green,223.0
2263,green,38.0
2198,green,111.0
2221,green,156.0
2238,green,257.0
2256,green,94.0
2224,green,35.0
9572,green,
9574,green,
2122,green,62.0
2228,green,62.0
2146,green,62.0
2163,green,27.0
10166,green,
2232,green,198.0
2234,green,257.0
2233,green,27.0
2201,green,25.0
2272,green,198.0
2317,lime,198.0
2235,green,192.0
2246,green,62.0
2264,green,256.0
2254,green,156.0
2282,green,24.0
2255,green,131.0
2204,green,64.0
2259,lime,62.0
2260,lime,256.0
2244,green,111.0
2286,green,198.0
2266,green,256.0
2209,green,198.0
2243,green,198.0
2269,lime,111.0
2219,green,62.0
2275,green,38.0
2276,green,79.0
2278,green,24.0
2277,green,25.0
2525,lime,62.0
2203,green,192.0
2200,green,256.0
2285,green,128.0
2202,green,277.0
2239,green,93.0
2220,green,192.0
2274,green,25.0
2210,green,62.0
2207,green,257.0
2229,green,277.0
2242,green,93.0
2208,green,257.0
2252,green,38.0
2222,green,192.0
2240,green,257.0
2245,green,257.0
2215,lime,223.0
2321,lime,64.0
2362,green,256.0
2290,green,257.0
2301,green,61.0
2360,green,111.0
2346,green,111.0
2363,green,111.0
2352,green,198.0
9575,lime,
2257,green,64.0
2218,green,62.0
2249,green,62.0
2225,green,257.0
2205,green,257.0
10167,green,
10168,green,
2251,green,274.0
1792,green,89.0
2300,green,27.0
2303,lime,38.0
2305,green,111.0
2371,green,164.0
2307,lime,62.0
2308,lime,89.0
2310,green,38.0
2311,green,254.0
2312,green,256.0
2313,green,48.0
2314,green,253.0
2315,green,223.0
2316,green,48.0
2318,lime,38.0
2320,lime,198.0
2325,green,198.0
2326,green,163.0
2327,green,192.0
2328,green,191.0
2369,green,64.0
2354,green,198.0
2292,green,62.0
2334,lime,198.0
2293,green,198.0
2337,lime,90.0
2338,green,232.0
2339,green,117.0
2364,green,164.0
2365,green,111.0
2359,green,256.0
2343,green,62.0
2345,green,62.0
2348,green,64.0
2356,green,79.0
2344,green,198.0
2361,green,62.0
2366,green,254.0
2319,lime,192.0
2368,green,257.0
2370,green,254.0
2372,green,156.0
586,lime,252.0
2350,green,198.0
2287,green,152.0
2347,green,282.0
2291,green,62.0
2335,lime,62.0
2324,green,62.0
2323,green,62.0
2297,lime,198.0
2351,green,198.0
2358,green,282.0
2302,green,4.0
2375,green,30.0
2377,green,156.0
2380,green,156.0
2382,green,62.0
2385,green,164.0
9576,green,
9577,green,
10169,green,
1889,lime,111.0
1878,green,277.0
1865,green,25.0
1858,green,254.0
2381,green,49.0
2389,lime,111.0
2428,green,64.0
2392,green,164.0
2393,green,256.0
2395,green,79.0
2396,green,5.0
2397,green,24.0
2378,green,111.0
2401,green,25.0
2402,green,62.0
2398,green,61.0
